genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR02_SCR20	SCR02	SCR20	0.0000230213718681372	44-4	74	C	7	2	2	7.2	NA	0.00010649719904619
SCR02_SCR20	SCR02	SCR20	0.000037658454883547	44-4	74	C	7	2	2	7.2	NA	0.000174208556661032
SCR02_SCR20	SCR02	SCR20	0.0000222371794291221	44-4	74	D	7	2	2	7.2	NA	0.000102869513487455
SCR02_SCR20	SCR02	SCR20	0.0000225475988859501	44-4	74	D	7	2	2	7.2	NA	0.000104305518381993
SCR02_SCR20	SCR02	SCR20	7.55184941558569E-07	44-4	74	D	7	2	2	7.2	NA	3.49349645618474E-06
SCR02_SCR29	SCR02	SCR29	0.131214585452883	154-13	18	C	8	1	2	8.1	NA	0.607000569070332
SCR02_SCR29	SCR02	SCR29	0.115823507736296	154-13	18	C	8	1	2	8.1	NA	0.535801221068515
SCR02_SCR29	SCR02	SCR29	0.102948877158447	154-13	18	C	8	1	2	8.1	NA	0.476242993906864
SCR02_SCR29	SCR02	SCR29	0.0857729569027363	154-13	18	D	8	1	2	8.1	NA	0.396786938518366
SCR02_SCR29	SCR02	SCR29	0.0558099694412739	154-13	18	D	8	1	2	8.1	NA	0.258177725393307
SCR02_SCR29	SCR02	SCR29	0.0569826555348886	154-13	18	D	8	1	2	8.1	NA	0.263602588214069
